Day,Time,Exact,Event,Source1,Quote1,Quote1_EN,Source2
2019-12-30,21:06:00,Yes,"In a Primary school group chat (Daxing No.1 Experimental Primary School), a Mom adds that the information comes from a doctor a Wuhan’s Second Hospital",https://tw.news.yahoo.com/sars%E5%86%8D%E8%B5%B7-%E6%AD%A6%E6%BC%A2%E9%A9%9A%E5%82%B3%E5%A4%9A%E8%B5%B7-%E4%B8%8D%E6%98%8E%E5%8E%9F%E5%9B%A0%E8%82%BA%E7%82%8E-%E5%8C%97%E4%BA%AC%E6%80%A5%E6%B4%BE%E5%B0%88%E5%AE%B6%E7%A2%BA%E8%AA%8D%E7%97%85%E6%83%85-050220208.html,左心怡妈妈 给出这个消息的人是二医院呼吸科的医生，她是我们科室同事的老婆。所以消息肯定不会有误的。,Zuo Xinyi's mother: The person who provided this information is a doctor in the respiratory department of the Second Hospital; she's the wife of one of our department's colleagues. So the information is definitely accurate.,
2019-12-30,12:00:00,No,"Ai Fen receives message from Tongji classmate, alerting her of cases with high fevers at the Huanan market. She records and sends him the CT scan she was looking at, of a patient who had arrived in the morning",https://chinadigitaltimes.net/chinese/637830.html,12月30日那天中午，我在同济医院工作的同学发了一张微信对话截图给我，截图上写着：「最近不要去华南啊，那里蛮多人高烧……」他问我是不是真的，当时，我正在电脑上看一个很典型的肺部感染患者的CT，我就把CT录了一段11秒钟的视频传给他，告诉他这是上午来我们急诊的一个病人，也是华南海鲜市场的。,"On December 30th at noon, a classmate of mine who works at Tongji Hospital sent me a screenshot of a WeChat conversation. The screenshot read, ""'Don't go to Huanan Seafood Market recently, there are quite a few people there with high fevers...'"" He asked me if it was true. At the time, I was looking at a typical CT scan of a patient with a lung infection on my computer, so I recorded an 11-second video of the CT scan and sent it to him, telling him that it was a patient who came to our emergency room that morning, and that he was also from the Huanan Seafood Market.",
2019-12-30,15:10:00,Yes,"Request for information by WMHC, describes cases as linked to the Huanan market",https://zh.wikisource.org/wiki/市卫生健康委关于报送不明原因肺炎救治情况的紧急通知,根据上级紧急通知，我市华南海鲜市场陆续出现不明原因肺炎病人。为做好应对工作，请各单位立即清查统计近一周接诊过的具有类似特点的不明原因肺炎病人。于今日下午4点前将统计表（盖章扫面件）报送至市卫健委医政医管处邮箱。,"According to an urgent notice from higher authorities, cases of pneumonia of unknown cause have been reported at the Huanan Seafood Market in our city. To ensure effective response, all units are requested to immediately investigate and compile statistics on patients with similar symptoms of pneumonia of unknown cause who have been treated in the past week. The statistical table (stamped and scanned copy) should be submitted to the Medical Administration and Management Department of the Municipal Health Commission by 4 PM today.",
2019-12-30,15:53:00,Yes,"The WHMC notice has leaked, a screenshot is taken and shared online",https://imgur.com/XSi1V69,,,https://www-epochtimes-com.translate.goog/b5/20/4/15/n12033608.htm
2019-12-30,17:43:00,Yes,"Li Wenliang alerts group chat about 7 cases linked to Huanan market, sends SARS result (Ai Fen’s), the CT video (Ai Fen’s), announces patient isolation at Houhu branch of WCH.",https://imgur.com/ICcPozD,"华南水果海鲜市场确诊了7例 SARS
[…] 在我们医院后湖院区急诊科隔离","Seven cases of SARS have been confirmed at the Huanan Seafood and Fruit Market. 
[…] We are isolating patients in the emergency department of our hospital's Houhu branch.",
2019-12-30,18:50:00,Yes,"Urgent notice by WMHC about the treatment of unexplained pneumonia, does not mention Huanan market. Requests confidentiality.",https://zh.wikisource.org/wiki/关于做好不明原因肺炎救治工作的紧急通知,"根据上级紧急通知，我市部分医疗机构陆续出现不明原因肺炎病人 […]
未经授权任何单位，个人不得擅自对外发布救治信息。","According to the emergency notice from higher levels, some medical institutions in our city have appeared patients with unexplained pneumonia one after another. […]
Without authorization from any unit, individuals shall not release treatment information to the outside world without authorization.  ",https://imgur.com/ulr1RQL
2019-12-30,19:39:00,Yes,"In Union Red Cross Neuro group chat, Liu Wen alerts about a case of coronavirus pneumonia at the Houhu branch, and that areas around Huanan may be quarantined",https://imgur.com/gk8cPGu,刚刚二医院后湖院区确诊一例冠状病毒感染性肺炎[emoji]，也许华南周边会隔离。洗手！口罩！手套！,A case of coronavirus pneumonia has just been confirmed at the Houhu Campus of the Second Hospital [emoji]. The areas around Huanan may be placed under quarantine. Wash your hands! Wear masks! Wear gloves!,
2019-12-30,19:45:00,Yes,"In Union Red Cross Neuro group chat, Liu Wen adds that SARS has been confirmed",https://imgur.com/gk8cPGu,SARS己基本确定，护士妹妹们别出去晃了,"SARS has been confirmed. Nurses, please stay indoors",
2019-12-30,20:43:00,Yes,"Xie Linka, of Union hospital Cancer center, alerts another group chat",https://pincong.rocks/url/img/aHR0cHM6Ly9pLmltZ3VyLmNvbS9JV1paVVF2LmpwZw,"各位老师好，我传染病院的师妹发在我们同门群里的消息：
近期不要到华南海鲜市场去，那里现在发生了多人患不明原因肺炎（类似非典). 今天我们医院已收治了多例华南海鲜市场的肺炎病人。","Hello everyone, my junior colleague from the Infectious Disease Hospital sent a message to our alumni group: Please do not go to the Huanan Seafood Market recently, as there have been multiple cases of pneumonia of unknown cause (similar to SARS) there. Our hospital has already admitted several pneumonia patients from the Huanan Seafood Market today.",
2019-12-30,21:00:00,No,"In a Primary school group chat (Daxing No.1 Experimental Primary School), a Mom shares information coming from the wife of a colleague, saying that the Second Hospital (WCH) has found a case of SARS",https://tw.news.yahoo.com/sars%E5%86%8D%E8%B5%B7-%E6%AD%A6%E6%BC%A2%E9%A9%9A%E5%82%B3%E5%A4%9A%E8%B5%B7-%E4%B8%8D%E6%98%8E%E5%8E%9F%E5%9B%A0%E8%82%BA%E7%82%8E-%E5%8C%97%E4%BA%AC%E6%80%A5%E6%B4%BE%E5%B0%88%E5%AE%B6%E7%A2%BA%E8%AA%8D%E7%97%85%E6%83%85-050220208.html,"左心怡妈妈  
我们科同事老婆所在科室查出来的，二医院有一例确诊的SARS已确诊。  

左心怡妈妈 
大家出门千万记得戴口罩  

左心怡妈妈 
这个病人的活动区域就在华南海鲜 ","Zuo Xinyi's Mom  
Our colleague's wife's department found out that the Second Hospital has confirmed a case of SARS.

Zuo Xinyi's Mom 
Everyone, please remember to wear a mask when you go out.  

Zuo Xinyi's Mom 
This patient's activity area is the Huanan Seafood Market.",
